"Relevé de vitesses instantanées",,,
,,,
"Obs #",Vitesse,,
1,65,,
3,60,,
4,57,,
5,61,,
6,51,,
7,71,,
8,67,,
9,59,,
10,57,,
11,53,,
12,77,,
13,67,,
14,49,,
15,58,,
16,57,,
17,55,,
18,57,,
19,64,,
20,65,,
21,61,,
22,59,,
23,65,,
24,62,,
25,70,,
26,70,,
27,65,,
28,64,,
29,48,,
30,79,,
31,58,,
32,71,,
33,57,,
34,54,,
35,64,,
36,57,,
37,58,,
38,53,,
39,64,,
40,57,,
41,67,,
42,61,,
43,64,,
44,63,,
45,68,,
46,51,,
47,55,,
48,66,,
49,60,,
50,73,,
51,58,,
52,64,,
53,59,,
54,61,,
55,52,,
56,55,,
57,56,,
58,68,,
59,69,,
60,63,,
61,60,,
62,54,,
63,65,,
64,59,,
65,69,,
66,69,,
67,57,,
68,58,,
69,77,,
70,56,,
71,55,,
72,53,,
73,57,,
74,71,,
75,66,,
76,50,,
77,56,,
78,64,,
79,65,,
80,56,,
81,56,,
82,60,,
83,63,,
84,56,,
85,59,,
86,63,,
87,70,,
88,67,,
89,80,,
90,57,,
91,73,,
92,55,,
93,55,,
94,53,,
95,63,,
96,51,,
97,53,,
98,69,,
99,61,,
100,59,,
101,53,,
102,49,,
103,58,,
104,67,,
105,64,,
106,59,,
107,66,,
108,64,,
109,70,,
110,71,,
111,61,,
112,61,,
113,51,,
114,60,,
115,67,,
116,55,,
117,57,,
118,58,,
119,46,,
120,58,,
121,57,,
122,59,,
123,49,,
124,55,,
125,61,,
126,62,,
127,66,,
128,55,,
129,56,,
130,65,,
131,64,,
132,74,,
133,68,,
134,58,,
135,57,,
136,71,,
137,71,,
138,56,,
139,86,,
140,57,,
141,67,,
142,65,,
143,57,,
144,56,,
145,63,,
146,49,,
147,55,,
148,60,,
149,59,,
150,59,,
151,61,,
152,55,,
153,64,,
154,59,,
155,59,,
156,59,,
157,63,,
158,64,,
159,56,,
160,70,,
161,51,,
162,58,,
163,69,,
164,56,,
165,73,,
166,47,,
167,73,,
168,63,,
169,51,,
170,50,,
171,54,,
172,62,,
173,69,,
174,68,,
175,58,,
176,60,,
177,59,,
178,64,,
179,61,,
180,62,,
181,66,,
182,67,,
183,54,,
184,55,,
185,45,,
186,55,,
187,53,,
188,63,,
189,56,,
190,48,,
191,66,,
192,58,,
193,49,,
194,56,,
